Company,Sector,Stage,Amount,Location,About,Funding Year
Headfone,Social Audio,Early Stage,3000000.0,Bengaluru,Headfone helps create and share the audio content with listeners.,2021
Zouk,Fashion And Lifestyle,Early Stage,3500000.0,Mumbai,100% Vegan bags from India.,2021
Fashinza,B2B Manufacturing,Early Stage,2600000.0,Gurgaon,Fashinza is a B2B manufacturing marketplace that solves apparel/fashion supply chain challenges.,2021
Inficold,Solar,Other Stages,900000.0,Delhi,Provide uninterrupted and affordable cooling for refrigeration,2021
KIWI,Taas Startup,Early Stage,250000.0,Delhi,"A peer to peer support network, which would enable billions of users across the world",2021
Karkhana.io,Manufacturing Startup,Early Stage,1500000.0,Mumbai,Karkhana.io is an on-demand manufacturing platform with a vision of digitalizing manufacturing.,2021
ReadyAssist,Vehicle Repair Startup,Early Stage,1000000.0,Bengaluru,"ReadyAssist is one of the India's leading 24/7 roadside assistance, breakdown support, towing and repairs provider for both Bikes & Cars.",2021
Wright Research,Advisory Firm,Early Stage,3500000.0,Mumbai,Quantitative Investment Management and Research,2021
Devic Earth,Pollution Control Equiptment,Other Stages,1000000.0,Bengaluru,"State-of-the-art air pollution control equipment to improve air quality across buildings, industries, and cities.",2021
boAt,Fashion & Lifestyle,Other Stages,100000000.0,Mumbai,boAt is a lifestyle brand that deals in fashionable consumer electronics.,2021
MyGlamm,D2C,Other Stages,40000000.0,Mumbai,MyGlamm is India’s fastest growing direct-to-consumer beauty brand.,2021
Skymet,Environmental Services,Other Stages,1000000.0,Noida,Provide services that allow clients to understand and organize themselves around changing environment.,2021
ReDesyn,Merchandise,Other Stages,300000.0,Mumbai,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",2021
Inspacco,Facilities Services,Other Stages,200000.0,Pune,"For residential commercial and industrial establishments , Inspacco is a one stop solution , that delivers affordable improvement and maintenance services",2021
Mailmodo,Marketing & Advertising,Early Stage,2000000.0,Bengaluru,Mailmodo is a complete email marketing solution enabling users to create and send app-like interactive emails to improve email conversions.,2021
GlobalBees,D2C Business,Mid Stage,150000000.0,Delhi,Globalbees partners with entrepreneurs who have built an online-first business.  Our team scales up D2C businesses in India and abroad.,2021
NFTically,Nft Marketplace,Early Stage,3500000.0,Gurugram,"NFT Marketplace to buy or sell NFT tokens in minutes or set up your own NFT store, website, a storefront in minutes.",2021
Bikry app,Consumer Software,Other Stages,1300000.0,Noida,"Bikry, a Direct-to-Customer platform to start your online store within 30 seconds at 0% commission",2021
Pankhuri,Social Community,Other Stages,3200000.0,Bengaluru,"Pankhuri is a women's only community for members to socialize, explore and upskill through live interactive courses, expert chat and interest-based clubs.",2021
Aquaconnect,Fishery,Other Stages,4000000.0,Chennai,Aquaconnect is a global full-stack aquaculture technology venture that provides data-driven farm advisory and marketplace solutions to fish and shrimp farmers,2021
Indi Energy,Renewables & Environment,Early Stage,3500000.0,Roorkee,"Indi Energy is an energy storage startup involved in R&D of next generation battery technologies, with superior performance than current counterparts.",2021
Pratilipi,Online Storytelling,Other Stages,48000000.0,Bengaluru,"Pratilipi is the largest Indian language self-publishing platform with over 350,000 authors and more than 28,000,000 unique monthly readers.",2021
Skylark Drones,Aviation,Other Stages,3000000.0,Bengaluru,"Enterprise drone solutions that help plan, build, and sustain the world we live in.",2021
Leegality,It Company,Other Stages,3500000.0,Gurugram,"The market standard for eSign, eStamp and Document Workflow in India. Eliminating paper from paperwork since 2016",2021
Biocraft Innovation Technology,Environmental Service,Early Stage,3500000.0,Noida,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,2021
Jobsgaar,Job Discovery Platform,Early Stage,140000.0,Delhi,India's first District level/ Hyper Local Job discovery platform,2021
Almo,D2C Fashion,Early Stage,3500000.0,Gurugram,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,2021
Truemeds,Heathcare,Mid Stage,5000000.0,Mumbai,Truemeds is a health-tech startup.,2021
WaterScience,D2C Startup,Other Stages,3500000.0,Bengaluru,The aim of making good water affordable and accessible.,2021
Kutumb,Community Platform,Mid Stage,26000000.0,Bengaluru,Kutumb is a social community enabler.,2021
CoffeeMug.ai,Networking,Early Stage,620000.0,Delhi,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.",2021
Lavado,Consumer Service,Other Stages,3500000.0,Mumbai,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.,2021
ExtraaEdge,Martech,Other Stages,1000000.0,Pune,Data Science powered - Admission & Marketing CRM Automation for Education Enrolments,2021
Voiro,Advertisement,Other Stages,1800000.0,Bengaluru,Voiro is the first all-in-one revenue management suite exclusively for ad-led digital publishers across media.,2021
Instoried,Content Creation,Other Stages,3500000.0,Bengaluru,Instoried is an augmented writing platform which improves customer interest and engagement.,2021
Homingos,Augmented Reality,Other Stages,3500000.0,Bengaluru,Homingos is an Augmented reality (AR)-based social networking platform.,2021
Purplle,Beauty Products,Other Stages,45000000.0,Mumbai,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.",2021
Say Cheese,Femtech,Early Stage,1000000.0,Mumbai,"Say Cheese is the first holistic women-happiness platform in India, focused to increase the happiness of women through personalized solutions",2021
Indic Inspirations,Cultural,Other Stages,300000.0,Pune,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",2021
Captain Fresh,Supply Chain Platform,Early Stage,3000000.0,Bengaluru,Captain Fresh is a freshwater fish and seafood supply chain platform.,2021
Qoohoo,Social Platform,Early Stage,800000.0,Bengaluru,A platform for creators to build immersive connections with their fans and followers and monetize them.,2021
Reccy Adventures,Sports Startup,Early Stage,400000.0,Gurugram,Reccy Adventures is an adventure sports startup.,2021
Betterhalf.ai,Matrimony,Other Stages,3000000.0,Bengaluru,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,2021
Polygon,Crypto,Other Stages,3500000.0,Mumbai,Polygon is a blockchain scalability platform.,2021
Mensa Brands,Clothing,Mid Stage,50000000.0,Bengaluru,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.",2021
Thingsup,Iot Platform,Other Stages,1000000.0,Pune,Thingsup is an Enterprise Grade IoT Platform.,2021
Kiko Live,Commerce,Other Stages,1000000.0,Gurugram,Video-based social commerce startup,2021
SatSure,Defense & Space,Other Stages,3500000.0,Bengaluru,SatSure is an innovative decision analytics company,2021
Prodo,Business Supplies & Equipment,Early Stage,300000.0,Delhi,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",2021
Lysto,Nft,Early Stage,3000000.0,Bengaluru,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",2021
Buyofuel,Oil & Energy,Early Stage,100000.0,Coimbatore,Green Fuels Marketplace,2021
Doola,Company-As-A-Service,Other Stages,3000000.0,New York,The ultimate One-Stop-Shop™? to help US and Non-US Founders to turn an idea into their dream US Business,2021
Bombay Hemp Company,Textiles,Other Stages,2000000.0,Mumbai,"BOHECO was founded to research on and promote industrial hemp, the super crop of our era in India. BOHECO was formally registered under The Companies Act",2021
GENLEAP,Professional Training & Coaching,Early Stage,8000000.0,Haryana,GenLeap is India’s first self-discovery and career lifecycle management platform.,2021
Planys,Maritime,Other Stages,1600000.0,Chennai,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,2021
Homversity,Housing Marketplace,Other Stages,155000.0,Ahmedabad,Homversity is the digital ecosystem that aims to support the 93 BN USD student housing & Co-living industry in India.,2021
Rentomojo,Furniture Rental,Other Stages,10000000.0,Bengaluru,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.",2021
Ozonetel,Telecommunications,Mid Stage,5000000.0,Hyderabad,Ozonetel is leading Cloud Telephony solution provider.,2021
Trica,Equity Management,Early Stage,3000000.0,Mumbai,Powering private markets - A technology platform for startups and investors.,2021
leap.club,Community,Other Stages,810000.0,Gurugram,A community-led professional network for women,2021
ForeignAdmits,Higher Education,Early Stage,400000.0,Bengaluru,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,2021
Zetwerk,Mechanical Or Industrial Engineering,Other Stages,600000000.0,Bengaluru,ZETWERK is a universal manufacturing network powered by new-age technology.,2021
Melorra,D2C Jewellery,Other Stages,24000000.0,Bengaluru,A company that styles jewellery for the contemporary wardrobe.,2021
AnKa SumMor,Sales And Distribution,Other Stages,1000000.0,Bengaluru,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",2021
Devnagri,Translation & Localization,Early Stage,600000.0,Noida,"Devnagri is an AI powered human translation platform, working in all 22 Indian languages.",2021
MergerDomo,Investment Banking,Other Stages,500000.0,Delhi,MergerDomo is the one-stop Global OnLine M&A marketplace for Corporate and Business Growth,2021
CHUPPS,Foootwear,Other Stages,1100000.0,Mumbai,D2C footwear brand,2021
Vakilsearch,Legal Services,Other Stages,10000000.0,Chennai,"India's largest Legal, Compliance & Tax services platform, and trusted partner in making legal simple!",2021
Sanctum Wealth,Investment Management,Other Stages,10000000.0,Mumbai,Sanctum is an Indian wealth management firm which has acquired RBS India’s Private Banking business.,2021
PredictiVu,Management Consulting,Early Stage,1500000.0,Gurugram,"PredictiVu's AI-enabled dashboard integrated with India's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",2021
Bijnis,B2B Startup,Other Stages,30000000.0,Delhi,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their Demand/Supply/Captial/Operations.,2021
Design Cafe,Design,Mid Stage,25000000.0,Bengaluru,Design Cafe is on a mission to democratize good design for homes in India.,2021
TravClan,B2B Travel,Other Stages,2200000.0,Delhi,A mission to solve a genuine problem faced by millions of travel entrepreneurs across the world.,2021
AppsForBharat,Product Studio,Mid Stage,10000000.0,Bengaluru,"A mission to assist a billion Indians in their spiritual journey, through a range of products & services",2021
TechEagle,Aviation & Aerospace,Early Stage,500000.0,Gurugram,"Safe, secure & reliable On-Demand Drone delivery network for medical, parcel & essential items",2021
Gigforce,Staffing & Recruiting,Other Stages,3000000.0,Gurugram,A gig/on-demand staffing company.,2021
