Company,Sector,Stage,Amount,Location,About,Funding Year
Simulanis,Training,Early Stage,500000.0,New Delhi,A Delhibased Augmented Reality and Virtual Reality technology development company,2018
True Elements,Dietary Supplements,Early Stage,730000.0,Pune,True elements offers a range of highquality snacks and supplements that are inspired by natural foods consumed by our ancestors,2018
Myhq,Collaboration,Mid Stage,500000.0,New Delhi,myHQ turns your everyday coffee space into a perfect work zone Get an amazing work environment without paying any rent,2018
Log 9 Materials,Nanotechnology,Early Stage,438000.0,Uttar Pradesh,Log 9 Materials is a nanomaterials manufacturing and RnD startup,2018
Vebbler,File Sharing,Early Stage,1300000.0,Bengaluru,A personal network for close people,2018
Wishberry,Crowdfunding,Mid Stage,1460000.0,Mumbai,Wishberry is a rewardsbased crowdfunding platform that enables users to raise funds for their creative and innovative ideas,2018
Biryani By Kilo,Catering,Early Stage,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients,2018
Fixpocket,Computer,Early Stage,250000.0,Ahmedabad,Fixpocket is a internetbased startup,2018
Edureka!,Android,Mid Stage,2000000.0,Bengaluru,Edureka is the fastest growing online learning platform that offers live instructorled courses for professionals from various industries,2018
Wow Express,Delivery,Mid Stage,4500000.0,Mumbai,WOW as customers react to his studiously taught trained polite and courteous nature,2018
Zunroof,Environmental Consulting,Other Stages,242360.0,Gurugram,ZunRoof is a rooftop focused solar startup,2018
Indiqube,Commercial Real Estate,Mid Stage,15000000.0,Bengaluru,IndiQube is a provider of coworking spaces based in Bengaluru,2018
Hey Deedee,Delivery Service,Early Stage,481800.0,Mumbai,Hey Deedee is a Mumbaibased company that provides solutions to parcel delivery problems,2018
Sports Flashes Pvt. Ltd,Basketball,Early Stage,1000000.0,New Delhi,Sports Flashes operates a sports content app that provides sports news live scores fantasy gaming expert views trivia and more,2018
Helloverify,Fraud Detection,Early Stage,1300000.0,Noida,HelloVerify is an online background check platform,2018
Coingeto,Cryptocurrency,Early Stage,1752000.0,New Delhi,CoinGeto is one of Indias most advanced digital assets exchange,2018
Wedeterna,Wedding,Other Stages,1300000.0,Bengaluru,Wedeterna is a newage personalised and fresh approach to arranged marriages DIY matrimonial community with only self created profiles,2018
1Crowd,Crowdsourcing,Other Stages,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian startups and early stage ventures,2018
Gramophone,Farming,Early Stage,1000000.0,Indore,An agricultural inputs startup Company,2018
Ora,Business Travel,Early Stage,1300000.0,Kolkata,Ora is an online marketplace of unique accommodations Awarded as among top 3000 startups in India by IIM Kolkata,2018
Buddy4Study.Com,Career Planning,Mid Stage,3000000.0,Noida,Buddy4Study is the best scholarship search engine for Indian students It also helps organizations to set up their own scholarship schemes,2018
Predible Health,Medical Device,Early Stage,1300000.0,Bengaluru,Healthcare devices for cancer detection,2018
Syncremedies Healthcare Pvt Ltd,Alternative Medicine,Early Stage,1300000.0,Bengaluru,Syncremedies is an Integrated Medicine service that brings together Allopathy Ayurveda and Homeopathy to treat chronic ailments,2018
Healwell24,Dental,Early Stage,200000.0,Mumbai,HealWell24 is Indias emerging technologyempowered healthcare company aiming to bring worldclass quality healthcare services anywhere,2018
Bonphul Air Products,Cleantech,Other Stages,292000.0,New Delhi,A clean tech product Company,2018
Rocketium,Marketing,Early Stage,292000.0,Bengaluru,Easy video creation for social media,2018
Career Anna,Commercial,Early Stage,584000.0,Bengaluru,Indias Go to Career Commerce Portal,2018
Eruditus Executive Education,Continuing Education,Mid Stage,40000000.0,Mumbai,Eruditus promoted by Alumni of INSEAD and other top business schools delivers high quality executive education programmes,2018
Gaia Smart Cities,Smart Cities,Early Stage,1300000.0,Mumbai,Gaia Smart Cities is an early leader in the rapidlyemerging Internet of Things IoT marketplace,2018
Sportido,Social Media,Early Stage,1300000.0,Noida,Sportido is a sports discovery app that helps you find people and places to play 700 sports around you,2018
Stelis Biopharma,Biopharma,Mid Stage,100000000.0,Bengaluru,Stelis Biopharma is a vertically integrated biopharmaceutical company,2018
Cloudnine Hospitals,Child Care,Other Stages,1300000.0,Bengaluru,Cloudnine is an Indian chain of women and child care hospitals,2018
Royal Sundaram General Insurance Co. Limited,Health Insurance,Other Stages,210000000.0,Kalpakkam,Royal Sundaram provides comprehensive insurance plans and innovative insurance solutions to individuals families and businesses,2018
Mobile Premier League (Mpl),Gaming,Mid Stage,5000000.0,Bengaluru,Mobile Premier LeagueMPL is a skill based ESports platform where you can play your favourite mobile games and win real cash always,2018
Bhaskarguru,Search Engine,Early Stage,1000000.0,Bhopal,Bhaskargurucom is your local search Engine,2018
Gugu,Battery,Early Stage,250000.0,Coimbatore,Gugu designs  Sells all Electric Connected Twowheelers with Network of Open  Free Fast charging Stations across India,2018
Em Personal Care,Cosmetics,Early Stage,1300000.0,Worli,Em Personal Care is a Cosmetic products manufacturing Company,2018
Gamingmonk,Esports,Mid Stage,584000.0,New Delhi,GamingMonk is an eSports gaming company based out of New Delhi India,2018
Guruq,Reading Apps,Early Stage,365000.0,New Delhi,A one of its kind digital integrated platform connecting tutors and students,2018
Cellerite Systems,Electric Vehicle,Early Stage,1300000.0,Hyderabad,Cellerite Systems is a charging solutions provider for electric vehicles,2018
Manjushree Technopack,Packaging Services,Other Stages,1300000.0,Bengaluru,Manjushree Technopack is a Rigid plastics packaging convertor in India and South Asia,2018
Vogo Rentals,Last Mile Transportation,Other Stages,1168000.0,Kormangala,Vogo is a dockless scooter rental company in India which lets customers rent scooters for short one way trips,2018
Livquik,Fintech,Other Stages,2700000.0,Mumbai,LivQuik was incorporated with the vision to simplify payments for merchants and consumers in an increasingly digital world,2018
9Stacks,Online Games,Mid Stage,4088000.0,New Delhi,Online gaming startup,2018
Yourownroom,Online Portals,Early Stage,750000.0,Bengaluru,Good quality strategically located homes closer to work for millennials,2018
Knocksense,News,Early Stage,1300000.0,Lucknow,Knocksense is a fast growing lifestyle website,2018
Parkwheels,Industrial,Early Stage,175200.0,Haryana,Parkwheels aims at solving the big bad  unsexy parking problems of India,2018
Gogaga,Dating,Other Stages,40000.0,Bengaluru,GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches,2018
Dream11,Fantasy Sports,Late Stage,100000000.0,Mumbai,Dream11 is Indias Biggest Sports Game with 30 million users playing Fantasy Cricket Football Kabaddi and NBA,2018
Bombay Shaving,Ecommerce,Early Stage,6300000.0,Gurugram,Provides a range of male grooming products,2019
Homelane,Interior Design,Late Stage,30000000.0,Chennai,Provides interior designing solutions,2019
Nu Genes,Agritech,Early Stage,6000000.0,Telangana,It is a seed company engaged in production processing and marketing of seeds,2019
Flytbase,Technology,Early Stage,0.0,Pune,A drone automation platform,2019
Finly,Saas,Early Stage,0.0,Bengaluru,It builds software products that makes work simpler pleasant and productive,2019
Quantiphi,Ai & Tech,Mid Stage,20000000.0,Marlborough,It is an AI and big data services company providing business solutions,2019
Jobsquare,Hr Tech,Early Stage,140500.0,Ahmedabad,Technologybased platform that is connecting suitable applicants to the right recruiters,2019
Open Secret,Food Tech,Mid Stage,0.0,Mumbai,It produces and sells top quality snacks,2019
Azah Personal Care Pvt. Ltd.,Health,Other Stages,0.0,Gurugram,Aims to solve some problems in the feminine hygiene sector,2019
Pristyn Care,Healthcare,Mid Stage,12000000.0,Gurugram,Delivers advanced medical care  clinical excellence aided by nextlevel technology,2019
Medlife,Pharmaceutical,Mid Stage,15500000.0,Bengaluru,It solves inadequacies in the healthcare delivery system through technology,2019
Toffee Insurance,Insurance Technology,Mid Stage,5500000.0,Haryana,Provides variety of insurance plans and policies,2019
Fireflies .Ai,Ai,Early Stage,5000000.0,San Francisco,Developer of an artificial intelligencepowered assistant for businesses,2019
Hungerbox,Foodtech,Mid Stage,12000000.0,Bengaluru,Offers B2B tech platform to corporates aimed at improving the operations of their cafeterias,2019
Licious,Food,Late Stage,30000000.0,Bengaluru,Online meat shop,2019
Pumpkart,E-Marketplace,Early Stage,0.0,Chandigarh,B2B model for appliances and electrical products,2019
Vmate,Short Video Platform,Mid Stage,100000000.0,Gurugram,A short video platform,2019
