Company,Location,Sector,About,Amount,Stage,Funding Year
Humit,Bengaluru,Music,Humit is a social networking app for music sharing and discovery,0.0,Pre-seed,2021
Airblack,Gurugram,It Startup,Airblack is on a mission to help people convert their passion to a livelihood,5200000.0,Series A,2021
Niramai,Bengaluru,Healthcare,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix ie machine intelligence over thermography images,0.0,,2021
Intervue,New Delhi,Saas Startup,Worlds fastest collaborative environment to take tech interviews,0.0,Seed,2021
Nestroots,Gurugram,Fashion,Ottoman Stool Brass Kitchen Solutions Masala Box Roti Box Bar Accessories and Many Gifting Options at Nestroots,100000.0,Seed,2021
Detect Technologies,Chennai,Automation,Detect Technologies is a leading Industrial AI company that is building innovative solutions and cuttingedge technology for the industrial ecosystem,12000000.0,,2021
Credr,Bengaluru,Automotive,CredR is Indias Most Trusted Used TwoWheeler Consumer Brand that leverages Technology  Processes to simplify the Used Twowheeler Market,6500000.0,,2021
Fourth Partner Energy,Hyderabad,Solar,Fourth Partner Energy is Indias leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial industrial and institutional entities,125000000.0,,2021
Tablt,Kolkata,Healthcare,TABLT Previously Sabse Sasta Dukaan is one of Indias most trusted online pharmacy dealing in medicines and other healthcare products,3000000.0,Seies A,2021
Hesa,Hyderabad,It Startup,HESA is connecting Bharat with India and India with Bharat Phygitally We are bridging the gap for the worlds largest customer base that resides in rural India,2000000.0,Seed,2021
Powerhouse91,Gurugram,Consumer Goods,A techdriven company that acquires operates and scales outstanding ecommerce brands in India,0.0,Seed,2021
Nalanda Learning,Kolkata,Edtech,Indias 1st Online Preschool with Blended Learning Model,5000000.0,,2021
Chargeup,New Delhi,Renewable Energy,Battery as a Service for 3 wheeler  2 wheelers,0.0,Pre-series A,2021
Knackit,Bengaluru,It Startup,Knackit is a talent sharing platform where users can showcase and monetize their artistry,100000.0,,2021
Treebo Hotels,Bengaluru,Hospitality,Treebo Hotels is Indias most loved hotel chain in the premiumbudget segment,16000000.0,Series D,2021
Raptee Energy,Chennai,Automotive,Raptee Energy Inc is looking to accelerate the transition to smart and sustainable mobility,700000.0,,2021
Meddo,Gurugram,Healthcare,Meddo Arctern Healthcare are redefining how primary and secondary healthcare is provided in India through a connected care delivery platform,6000000.0,,2021
